complaint_text,complaint_type,language,anger_score,days_pending,repeat_count,escalation_label,x,y,DBSCAN_Cluster,KMeans_Cluster,Risk Score,Risk Level,Root Cause
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.88,18,1,1,-1.711371593081928,-3.4244080913301573,2,2,85,Critical,Isolated complaint - no systemic cause
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.63,9,1,0,-0.3911203663377927,-0.935641499841797,0,0,54,High,Warehouse packing error suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.84,9,4,1,-1.711371593081928,-3.4244080913301573,2,2,80,Critical,Courier partner failure suspected
"return request ignored completely, no one responding",return_not_picked,english,0.78,23,2,1,-1.5922467003701688,-2.1694284101938868,2,2,95,Critical,Courier partner failure suspected
"return request ignored completely, no one responding",return_not_picked,english,0.62,23,3,1,-1.5922467003701688,-2.1694284101938868,2,2,92,Critical,Courier partner failure suspected
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.52,4,4,1,3.966911999619658,-0.268436093168843,1,3,54,High,Supplier quality issue suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.95,15,1,1,-1.7836398170721757,2.381926407704887,3,1,82,Critical,Payment gateway or bank processing delay
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.97,10,4,1,-1.7836398170721757,2.381926407704887,3,1,88,Critical,Payment gateway or bank processing delay
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.76,19,1,1,-1.7836398170721757,2.381926407704887,3,1,81,Critical,Payment gateway or bank processing delay
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.61,7,4,1,-1.711371593081928,-3.4244080913301573,2,2,64,High,Courier partner failure suspected
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.69,3,2,0,-1.357461773663346,2.7296125988696343,3,1,50,High,Warehouse packing error suspected
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.56,5,1,0,-0.3911203663377927,-0.935641499841797,0,0,43,Medium,Warehouse packing error suspected
"color mismatch in my order, very upset",color_mismatch,english,0.47,9,4,1,0.3937367188796189,-0.6687577691426547,0,0,61,High,Seller product listing fraud suspected
"return request ignored completely, no one responding",return_not_picked,english,0.7,13,3,1,-1.5922467003701688,-2.1694284101938868,2,2,76,Critical,Courier partner failure suspected
"saree color was red online but received pink, cheating",color_mismatch,english,0.77,2,4,1,0.2390009075012779,0.7527417882998685,0,4,62,High,Seller product listing fraud suspected
"color mismatch in my order, very upset",color_mismatch,english,0.41,8,2,0,0.3937367188796189,-0.6687577691426547,0,0,46,Medium,Seller product listing fraud suspected
"fabric is rough and fake, returning immediately",fake_fabric,english,0.51,4,2,0,3.429179190843084,0.2884144875879759,1,3,43,Medium,Supplier quality issue suspected
"fabric is rough and fake, returning immediately",fake_fabric,english,0.64,8,4,1,3.429179190843084,0.2884144875879759,1,3,68,High,Supplier quality issue suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.77,10,3,1,-1.711371593081928,-3.4244080913301573,2,2,73,High,Courier partner failure suspected
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.59,5,1,0,3.966911999619658,-0.268436093168843,1,3,44,Medium,Supplier quality issue suspected
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.58,10,2,0,-1.357461773663346,2.7296125988696343,3,1,59,High,Warehouse packing error suspected
"saree color was red online but received pink, cheating",color_mismatch,english,0.61,4,2,0,0.2390009075012779,0.7527417882998685,0,4,48,Medium,Seller product listing fraud suspected
"color mismatch in my order, very upset",color_mismatch,english,0.52,3,2,0,0.3937367188796189,-0.6687577691426547,0,0,42,Medium,Seller product listing fraud suspected
"color mismatch in my order, very upset",color_mismatch,english,0.48,3,1,0,0.3937367188796189,-0.6687577691426547,0,0,35,Medium,Seller product listing fraud suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.78,5,1,0,-1.711371593081928,-3.4244080913301573,2,2,54,High,Isolated complaint - no systemic cause
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.89,16,3,1,-1.711371593081928,-3.4244080913301573,2,2,91,Critical,Courier partner failure suspected
"fabric is rough and fake, returning immediately",fake_fabric,english,0.64,9,2,0,3.429179190843084,0.2884144875879759,1,3,60,High,Supplier quality issue suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.88,11,1,1,-1.711371593081928,-3.4244080913301573,2,2,71,High,Isolated complaint - no systemic cause
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.51,3,3,1,3.966911999619658,-0.268436093168843,1,3,46,Medium,Supplier quality issue suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.89,6,4,1,-1.1929884771589887,1.3139764086581622,3,1,76,Critical,Isolated complaint - no systemic cause
"return request ignored completely, no one responding",return_not_picked,english,0.95,21,3,1,-1.5922467003701688,-2.1694284101938868,2,2,104,Critical,Courier partner failure suspected
"color mismatch in my order, very upset",color_mismatch,english,0.64,7,1,0,0.3937367188796189,-0.6687577691426547,0,0,51,High,Seller product listing fraud suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.91,10,1,1,-1.1929884771589887,1.3139764086581622,3,1,70,High,Payment gateway or bank processing delay
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.53,3,4,1,-1.357461773663346,2.7296125988696343,3,1,52,High,Warehouse packing error suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.9,5,4,1,-1.1929884771589887,1.3139764086581622,3,1,75,Critical,Isolated complaint - no systemic cause
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.82,24,1,1,-1.7836398170721757,2.381926407704887,3,1,94,Critical,Payment gateway or bank processing delay
"color mismatch in my order, very upset",color_mismatch,english,0.58,2,3,1,0.3937367188796189,-0.6687577691426547,0,0,48,Medium,Seller product listing fraud suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.75,14,3,1,-1.711371593081928,-3.4244080913301573,2,2,80,Critical,Courier partner failure suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.8,18,4,1,-1.711371593081928,-3.4244080913301573,2,2,96,Critical,Courier partner failure suspected
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.3,8,2,0,-1.357461773663346,2.7296125988696343,3,1,41,Medium,Warehouse packing error suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.81,21,2,1,-1.7836398170721757,2.381926407704887,3,1,92,Critical,Payment gateway or bank processing delay
"saree color was red online but received pink, cheating",color_mismatch,english,0.65,10,1,0,0.2390009075012779,0.7527417882998685,0,4,57,High,Seller product listing fraud suspected
"color mismatch in my order, very upset",color_mismatch,english,0.43,9,1,0,0.3937367188796189,-0.6687577691426547,0,0,44,Medium,Seller product listing fraud suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.84,25,2,1,-1.1929884771589887,1.3139764086581622,3,1,102,Critical,Payment gateway or bank processing delay
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.81,1,4,1,-1.7836398170721757,2.381926407704887,3,1,62,High,Isolated complaint - no systemic cause
"color mismatch in my order, very upset",color_mismatch,english,0.74,3,1,0,0.3937367188796189,-0.6687577691426547,0,0,48,Medium,Seller product listing fraud suspected
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.69,8,2,0,-0.3911203663377927,-0.935641499841797,0,0,60,High,Warehouse packing error suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.63,12,1,0,-1.711371593081928,-3.4244080913301573,2,2,60,High,Isolated complaint - no systemic cause
"fabric is rough and fake, returning immediately",fake_fabric,english,0.63,4,3,1,3.429179190843084,0.2884144875879759,1,3,54,High,Supplier quality issue suspected
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.77,5,4,1,3.966911999619658,-0.268436093168843,1,3,68,High,Supplier quality issue suspected
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.43,7,2,0,-0.3911203663377927,-0.935641499841797,0,0,45,Medium,Warehouse packing error suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.73,22,1,0,-1.1929884771589887,1.3139764086581622,3,1,85,Critical,Payment gateway or bank processing delay
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.47,4,3,1,-1.357461773663346,2.7296125988696343,3,1,46,Medium,Warehouse packing error suspected
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.62,4,3,1,-0.3911203663377927,-0.935641499841797,0,0,54,High,Warehouse packing error suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.75,11,2,1,-1.1929884771589887,1.3139764086581622,3,1,69,High,Payment gateway or bank processing delay
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.75,10,1,1,-1.1929884771589887,1.3139764086581622,3,1,62,High,Payment gateway or bank processing delay
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.56,0,1,0,-0.3911203663377927,-0.935641499841797,0,0,33,Medium,Warehouse packing error suspected
"return request ignored completely, no one responding",return_not_picked,english,0.91,18,1,1,-1.5922467547828327,-2.1694281828813136,2,2,86,Critical,Isolated complaint - no systemic cause
"fabric is rough and fake, returning immediately",fake_fabric,english,0.67,5,2,0,3.4291791620191963,0.2884144815009377,1,3,53,High,Supplier quality issue suspected
"fabric is rough and fake, returning immediately",fake_fabric,english,0.82,1,4,1,3.4291791620191963,0.2884144815009377,1,3,63,High,Supplier quality issue suspected
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.31,6,4,1,-0.3911203663377927,-0.935641499841797,0,0,47,Medium,Warehouse packing error suspected
"return request ignored completely, no one responding",return_not_picked,english,0.94,0,1,1,-1.5922467003701688,-2.1694284101938868,2,2,52,High,Isolated complaint - no systemic cause
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.46,9,1,0,-1.357461773663346,2.7296125988696343,3,1,46,Medium,Warehouse packing error suspected
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.36,9,3,1,-1.357461773663346,2.7296125988696343,3,1,51,High,Warehouse packing error suspected
"return request ignored completely, no one responding",return_not_picked,english,0.76,24,3,1,-1.5922467003701688,-2.1694284101938868,2,2,101,Critical,Courier partner failure suspected
"fabric is rough and fake, returning immediately",fake_fabric,english,0.87,10,3,1,3.4291791620191963,0.2884144815009377,1,3,78,Critical,Supplier quality issue suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.75,17,4,1,-1.7836398170721757,2.381926407704887,3,1,91,Critical,Payment gateway or bank processing delay
"return request ignored completely, no one responding",return_not_picked,english,0.65,9,2,0,-1.5922467547828327,-2.1694281828813136,2,2,60,High,Courier partner failure suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.87,24,1,1,-1.7836398170721757,2.381926407704887,3,1,96,Critical,Payment gateway or bank processing delay
"fabric is rough and fake, returning immediately",fake_fabric,english,0.72,1,2,0,3.4291791620191963,0.2884144815009377,1,3,48,Medium,Supplier quality issue suspected
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.76,9,4,1,3.966911999619658,-0.268436093168843,1,3,76,Critical,Supplier quality issue suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.84,17,1,1,-1.1929884771589887,1.3139764086581622,3,1,81,Critical,Payment gateway or bank processing delay
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.86,24,1,1,-1.711371593081928,-3.4244080913301573,2,2,96,Critical,Isolated complaint - no systemic cause
"fabric is rough and fake, returning immediately",fake_fabric,english,0.84,1,4,1,3.4291791620191963,0.2884144815009377,1,3,64,High,Supplier quality issue suspected
"fabric is rough and fake, returning immediately",fake_fabric,english,0.51,3,4,1,3.4291791620191963,0.2884144815009377,1,3,51,High,Supplier quality issue suspected
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.71,9,2,0,3.966911999619658,-0.268436093168843,1,3,63,High,Supplier quality issue suspected
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.58,7,3,1,-1.357461773663346,2.7296125988696343,3,1,58,High,Warehouse packing error suspected
"fabric is rough and fake, returning immediately",fake_fabric,english,0.77,10,3,1,3.4291791620191963,0.2884144815009377,1,3,73,High,Supplier quality issue suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.81,24,2,1,-1.7836398170721757,2.381926407704887,3,1,98,Critical,Payment gateway or bank processing delay
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.6,0,3,1,-0.3911203663377927,-0.935641499841797,0,0,45,Medium,Warehouse packing error suspected
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.45,0,3,1,-1.357461773663346,2.7296125988696343,3,1,37,Medium,Warehouse packing error suspected
"color mismatch in my order, very upset",color_mismatch,english,0.5,2,3,1,0.3937367188796189,-0.6687577691426547,0,0,44,Medium,Seller product listing fraud suspected
"color mismatch in my order, very upset",color_mismatch,english,0.5,10,4,1,0.3937367188796189,-0.6687577691426547,0,0,65,High,Seller product listing fraud suspected
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.49,6,3,1,-0.3911203663377927,-0.935641499841797,0,0,51,High,Warehouse packing error suspected
"saree color was red online but received pink, cheating",color_mismatch,english,0.79,3,4,1,0.2390009075012779,0.7527417882998685,0,4,65,High,Seller product listing fraud suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.81,8,2,1,-1.1929884771589887,1.3139764086581622,3,1,66,High,Isolated complaint - no systemic cause
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.52,8,2,0,3.966911999619658,-0.268436093168843,1,3,52,High,Supplier quality issue suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.79,1,1,0,-1.711371593081928,-3.4244080913301573,2,2,46,Medium,Isolated complaint - no systemic cause
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.53,1,3,1,-1.357461773663346,2.7296125988696343,3,1,43,Medium,Warehouse packing error suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.84,3,2,0,-1.1929884771589887,1.3139764086581622,3,1,58,High,Isolated complaint - no systemic cause
"fabric is rough and fake, returning immediately",fake_fabric,english,0.75,1,1,0,3.4291791620191963,0.2884144815009377,1,3,44,Medium,Supplier quality issue suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.8,21,2,1,-1.7836398170721757,2.381926407704887,3,1,92,Critical,Payment gateway or bank processing delay
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.36,2,1,0,-1.357461773663346,2.7296125988696343,3,1,27,Low,Warehouse packing error suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.9,14,4,1,-1.1929884771589887,1.3139764086581622,3,1,93,Critical,Payment gateway or bank processing delay
"fabric is rough and fake, returning immediately",fake_fabric,english,0.66,2,1,0,3.4291791620191963,0.2884144815009377,1,3,42,Medium,Supplier quality issue suspected
"saree color was red online but received pink, cheating",color_mismatch,english,0.55,6,3,1,0.2390009075012779,0.7527417882998685,0,4,54,High,Seller product listing fraud suspected
"saree color was red online but received pink, cheating",color_mismatch,english,0.46,3,4,1,0.2390009075012779,0.7527417882998685,0,4,49,Medium,Seller product listing fraud suspected
"color mismatch in my order, very upset",color_mismatch,english,0.66,4,1,0,0.3937367188796189,-0.6687577691426547,0,0,46,Medium,Seller product listing fraud suspected
"saree color was red online but received pink, cheating",color_mismatch,english,0.49,1,3,1,0.2390009075012779,0.7527417882998685,0,4,41,Medium,Seller product listing fraud suspected
"return request ignored completely, no one responding",return_not_picked,english,0.68,7,1,0,-1.5922467547828327,-2.1694281828813136,2,2,53,High,Isolated complaint - no systemic cause
"saree color was red online but received pink, cheating",color_mismatch,english,0.46,1,4,1,0.2390009075012779,0.7527417882998685,0,4,45,Medium,Seller product listing fraud suspected
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.59,7,3,1,-0.3911203663377927,-0.935641499841797,0,0,58,High,Warehouse packing error suspected
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.41,7,2,0,-1.357461773663346,2.7296125988696343,3,1,44,Medium,Warehouse packing error suspected
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.76,4,1,0,3.966911999619658,-0.268436093168843,1,3,51,High,Supplier quality issue suspected
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.41,10,2,0,-0.3911203663377927,-0.935641499841797,0,0,50,High,Warehouse packing error suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.79,9,4,1,-1.711371593081928,-3.4244080913301573,2,2,77,Critical,Courier partner failure suspected
"return request ignored completely, no one responding",return_not_picked,english,0.78,14,1,1,-1.5922467547828327,-2.1694281828813136,2,2,72,High,Isolated complaint - no systemic cause
"fabric is rough and fake, returning immediately",fake_fabric,english,0.64,1,4,1,3.4291791620191963,0.2884144815009377,1,3,54,High,Supplier quality issue suspected
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.42,9,3,1,-1.357461773663346,2.7296125988696343,3,1,54,High,Warehouse packing error suspected
"color mismatch in my order, very upset",color_mismatch,english,0.56,1,2,0,0.3937367188796189,-0.6687577691426547,0,0,40,Medium,Seller product listing fraud suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.71,20,3,1,-1.7836398170721757,2.381926407704887,3,1,90,Critical,Payment gateway or bank processing delay
"fabric is rough and fake, returning immediately",fake_fabric,english,0.63,0,4,1,3.4291791620191963,0.2884144815009377,1,3,51,High,Supplier quality issue suspected
"saree color was red online but received pink, cheating",color_mismatch,english,0.46,4,1,0,0.2390009075012779,0.7527417882998685,0,4,36,Medium,Seller product listing fraud suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.77,17,2,1,-1.7836398170721757,2.381926407704887,3,1,82,Critical,Payment gateway or bank processing delay
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.79,7,1,1,-1.1929884771589887,1.3139764086581622,3,1,58,High,Isolated complaint - no systemic cause
"fabric is rough and fake, returning immediately",fake_fabric,english,0.74,7,3,1,3.429179190843084,0.2884144875879759,1,3,66,High,Supplier quality issue suspected
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.56,10,2,0,-1.357461773663346,2.7296125988696343,3,1,58,High,Warehouse packing error suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.97,14,1,1,-1.7836398170721757,2.381926407704887,3,1,81,Critical,Payment gateway or bank processing delay
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.83,25,2,1,-1.1929884771589887,1.3139764086581622,3,1,101,Critical,Payment gateway or bank processing delay
"fabric is rough and fake, returning immediately",fake_fabric,english,0.74,2,4,1,3.429179190843084,0.2884144875879759,1,3,61,High,Supplier quality issue suspected
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.69,3,3,1,-0.3911203663377927,-0.935641499841797,0,0,55,High,Warehouse packing error suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.8,7,2,1,-1.7836398170721757,2.381926407704887,3,1,64,High,Isolated complaint - no systemic cause
"saree color was red online but received pink, cheating",color_mismatch,english,0.5,3,4,1,0.2390009075012779,0.7527417882998685,0,4,51,High,Seller product listing fraud suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.77,15,1,1,-1.7836398170721757,2.381926407704887,3,1,73,High,Payment gateway or bank processing delay
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.89,17,1,1,-1.7836398170721757,2.381926407704887,3,1,83,Critical,Payment gateway or bank processing delay
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.73,7,3,1,-1.7836398170721757,2.381926407704887,3,1,65,High,Isolated complaint - no systemic cause
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.91,1,4,1,-1.711371593081928,-3.4244080913301573,2,2,67,High,Courier partner failure suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.96,19,4,1,-1.1929884771589887,1.3139764086581622,3,1,106,Critical,Payment gateway or bank processing delay
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.47,8,4,1,-0.3911203663377927,-0.935641499841797,0,0,59,High,Warehouse packing error suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.73,6,2,0,-1.1929884771589887,1.3139764086581622,3,1,58,High,Isolated complaint - no systemic cause
"return request ignored completely, no one responding",return_not_picked,english,0.72,6,2,0,-1.5922467547828327,-2.1694281828813136,2,2,58,High,Courier partner failure suspected
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.68,7,3,1,3.966911999619658,-0.268436093168843,1,3,63,High,Supplier quality issue suspected
"return request ignored completely, no one responding",return_not_picked,english,0.74,15,4,1,-1.5922467547828327,-2.1694281828813136,2,2,87,Critical,Courier partner failure suspected
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.59,3,2,0,3.966911999619658,-0.268436093168843,1,3,45,Medium,Supplier quality issue suspected
"saree color was red online but received pink, cheating",color_mismatch,english,0.44,6,4,1,0.2390009075012779,0.7527417882998685,0,4,54,High,Seller product listing fraud suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.79,12,1,1,-1.711371593081928,-3.4244080913301573,2,2,68,High,Isolated complaint - no systemic cause
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.4,3,3,1,-1.357461773663346,2.7296125988696343,3,1,41,Medium,Warehouse packing error suspected
"saree color was red online but received pink, cheating",color_mismatch,english,0.62,1,1,0,0.2390009075012779,0.7527417882998685,0,4,38,Medium,Seller product listing fraud suspected
"color mismatch in my order, very upset",color_mismatch,english,0.59,8,3,1,0.3937367188796189,-0.6687577691426547,0,0,60,High,Seller product listing fraud suspected
"return request ignored completely, no one responding",return_not_picked,english,0.7,25,1,0,-1.5922467547828327,-2.1694281828813136,2,2,90,Critical,Isolated complaint - no systemic cause
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.69,3,2,0,-1.711371593081928,-3.4244080913301573,2,2,50,High,Courier partner failure suspected
"saree color was red online but received pink, cheating",color_mismatch,english,0.43,10,1,0,0.2390009075012779,0.7527417882998685,0,4,46,Medium,Seller product listing fraud suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.96,11,1,1,-1.1929884771589887,1.3139764086581622,3,1,75,Critical,Payment gateway or bank processing delay
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.55,6,4,1,-0.3911203663377927,-0.935641499841797,0,0,59,High,Warehouse packing error suspected
"color mismatch in my order, very upset",color_mismatch,english,0.45,5,1,0,0.3937367188796189,-0.6687577691426547,0,0,37,Medium,Seller product listing fraud suspected
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.4,7,4,1,-0.3911203663377927,-0.935641499841797,0,0,54,High,Warehouse packing error suspected
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.76,0,1,0,3.966911999619658,-0.268436093168843,1,3,43,Medium,Supplier quality issue suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.96,7,2,1,-1.1929884771589887,1.3139764086581622,3,1,72,High,Isolated complaint - no systemic cause
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.94,17,2,1,-1.711371593081928,-3.4244080913301573,2,2,91,Critical,Courier partner failure suspected
"saree color was red online but received pink, cheating",color_mismatch,english,0.44,3,3,1,0.2390009075012779,0.7527417882998685,0,4,43,Medium,Seller product listing fraud suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.75,3,3,1,-1.711371593081928,-3.4244080913301573,2,2,58,High,Courier partner failure suspected
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.53,7,3,1,-1.357461773663346,2.7296125988696343,3,1,55,High,Warehouse packing error suspected
"fabric is rough and fake, returning immediately",fake_fabric,english,0.54,5,4,1,3.429179190843084,0.2884144875879759,1,3,57,High,Supplier quality issue suspected
"return request ignored completely, no one responding",return_not_picked,english,0.81,6,2,0,-1.5922467547828327,-2.1694281828813136,2,2,62,High,Courier partner failure suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.64,9,1,0,-1.711371593081928,-3.4244080913301573,2,2,55,High,Isolated complaint - no systemic cause
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.52,6,1,0,3.966911999619658,-0.268436093168843,1,3,43,Medium,Supplier quality issue suspected
"return request ignored completely, no one responding",return_not_picked,english,0.84,10,3,1,-1.5922467547828327,-2.1694281828813136,2,2,77,Critical,Courier partner failure suspected
"fabric is rough and fake, returning immediately",fake_fabric,english,0.61,1,3,1,3.429179190843084,0.2884144875879759,1,3,47,Medium,Supplier quality issue suspected
"color mismatch in my order, very upset",color_mismatch,english,0.64,6,4,1,0.3937367188796189,-0.6687577691426547,0,0,64,High,Seller product listing fraud suspected
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.7,1,2,0,3.966911999619658,-0.268436093168843,1,3,47,Medium,Supplier quality issue suspected
"saree color was red online but received pink, cheating",color_mismatch,english,0.56,9,4,1,0.2390009075012779,0.7527417882998685,0,4,66,High,Seller product listing fraud suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.65,5,1,0,-1.711371593081928,-3.4244080913301573,2,2,47,Medium,Isolated complaint - no systemic cause
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.71,15,4,1,-1.711371593081928,-3.4244080913301573,2,2,85,Critical,Courier partner failure suspected
"color mismatch in my order, very upset",color_mismatch,english,0.63,10,3,1,0.3937367188796189,-0.6687577691426547,0,0,66,High,Seller product listing fraud suspected
"saree color was red online but received pink, cheating",color_mismatch,english,0.49,9,3,1,0.2390009075012779,0.7527417882998685,0,4,57,High,Seller product listing fraud suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.81,20,4,1,-1.711371593081928,-3.4244080913301573,2,2,100,Critical,Courier partner failure suspected
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.71,3,1,0,3.966911999619658,-0.268436093168843,1,3,46,Medium,Supplier quality issue suspected
"saree color was red online but received pink, cheating",color_mismatch,english,0.55,3,4,1,0.2390009075012779,0.7527417882998685,0,4,53,High,Seller product listing fraud suspected
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.74,9,3,1,3.966911999619658,-0.268436093168843,1,3,70,High,Supplier quality issue suspected
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.43,5,3,1,-0.3911203663377927,-0.935641499841797,0,0,46,Medium,Warehouse packing error suspected
"fabric is rough and fake, returning immediately",fake_fabric,english,0.83,9,4,1,3.4291791620191963,0.2884144815009377,1,3,79,Critical,Supplier quality issue suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.94,11,3,1,-1.7836398170721757,2.381926407704887,3,1,84,Critical,Payment gateway or bank processing delay
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.56,4,3,1,-0.3911203663377927,-0.935641499841797,0,0,51,High,Warehouse packing error suspected
"return request ignored completely, no one responding",return_not_picked,english,0.78,11,1,1,-1.5922467547828327,-2.1694281828813136,2,2,66,High,Isolated complaint - no systemic cause
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.58,4,4,1,-0.3911203663377927,-0.935641499841797,0,0,57,High,Warehouse packing error suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.78,22,1,1,-1.1929884771589887,1.3139764086581622,3,1,88,Critical,Payment gateway or bank processing delay
